"Player";"Position";"Team"
"Matwijow, Ben";"L";"FOR"
"Bell, JW";"OB";"LIO"
"Allardice, Michael";"L";"CHI"
"Eksteen, Leighton";"FH";"KIN"
"Ferreira, Andries";"L";"LIO"
"Claassens, Michael";"HB";"SHA"
"Mumm, Dean";"L";"WAR"
"Donald, Stephen";"FH";"CHI"
"Venter, Henco";"LF";"CHE"
"Manuel Leguizamon, Juan";"LF";"JAG"
"Powell, Joe";"HB";"BRU"
"Paz, Joaquin";"FH";"JAG"
"Uys, Francois";"L";"CHE"
"Fainga'a, Anthony";"M";"BRU"
"Wainui, Sean";"M";"CRU"
"Smith, Andrew";"M";"BRU"
"Jeffries, Sam";"L";"REB"
"Simmons, Rob";"L";"RED"
"Hegarty, Bryce";"FH";"WAR"
"Gunn, Michael";"LF";"RED"
"Brown, Mitchell";"LF";"CHI"
"Jonck, JP";"LF";"KIN"
"Tucker, James";"L";"CHI"
"Ezcurra, Felipe";"HB";"JAG"
"Scrafton, Scott";"L";"BLU"
"Smith, Fletcher";"FH";"HIG"
"Hanekom, Stokkies";"M";"LIO"
"Wheeler, Joseph";"L";"HIG"
"Booysen, Fabian";"LF";"LIO"
"Tuttle, James";"FH";"RED"
"Enever, Blake";"L";"BRU"
"Cridge, Geoffrey";"L";"HUR"
"Muller, Martin";"L";"LIO"
"Gale, Scott";"HB";"RED"
"Front Row, Blues";"FR";"BLU"
"Nock, Sam";"HB";"BLU"
"Cowley-Tuioti, Gerard";"L";"BLU"
"Trainor, Jordan";"OB";"BLU"
"Front Row, Brumbies";"FR";"BRU"
"Hyne, Ben";"L";"BRU"
"Fakaosilea, Lolo";"LF";"BRU"
"Front Row, Bulls";"FR";"BUL"
"van Zyl, Ivan";"HB";"BUL"
"Matthews, Duncan";"OB";"BUL"
"Eksteen, Ryno";"FH";"CHE"
"Front Row, Cheetahs";"FR";"CHE"
"Mkhabela, Mthokozisi";"HB";"CHE"
"Serfontein, Willem";"L";"CHE"
"Burger, Tienie";"LF";"CHE"
"Olivier, Gerhardus";"LF";"CHE"
"Kruger, Tertius";"M";"CHE"
"Dolo, Maphutha";"OB";"CHE"
"Front Row, Chiefs";"FR";"CHI"
"Karpik, Mitch";"LF";"CHI"
"Tiatia, Chase";"OB";"CHI"
"Front Row, Crusaders";"FR";"CRU"
"Dunshea, Mitchell";"L";"CRU"
"Brown, Jed";"LF";"CRU"
"Front Row, Force";"FR";"FOR"
"Arnold, Richie";"L";"FOR"
"Koteka, Kane";"LF";"FOR"
"Naisarani, Isi";"LF";"FOR"
"Meakes, Bill";"M";"FOR"
"Front Row, Highlanders";"FR";"HIG"
"Renton, Josh";"HB";"HIG"
"Hemopo, Jackson";"L";"HIG"
"Tomkinson, Sio";"M";"HIG"
"Front Row, Hurricanes";"FR";"HUR"
"Toiroa Tahuriorangi, Te";"HB";"HUR"
"Broadhurst, James";"L";"HUR"
"Renton, Hugh";"LF";"HUR"
"Ahki, Pita";"M";"HUR"
"Front Row, Jaguares";"FR";"JAG"
"Kremer, Marcos";"L";"JAG"
"Ascarate, Gabriel";"M";"JAG"
"Gonzalez Amorosino, Lucas";"OB";"JAG"
"Carrio, Tomas";"OB";"JAG"
"Front Row, Kings";"FR";"KIN"
"Fuzani, Taz";"L";"KIN"
"Paul, Tyler";"L";"KIN"
"Lewis, Marlow";"M";"KIN"
