"Hobbs, Arthur";"DB";"SDG"
"Hoch, Dan";"OL";"JAC"
"Hogan, Chris";"WR";"MIA"
"Holland, Cam";"OL";"K.C"
"Holley, Jesse";"WR";"NWE"
"Holliday, Trindon";"WR";"HOU"
"Holmes, Santonio";"WR";"NYJ"
"Hood, Ziggy";"DL";"PIT"
"Horne, Jeremy";"WR";"K.C"
"Houston, Justin";"LB";"K.C"
"Houston, Lamarr";"DL";"OAK"
"Howard, Austin";"OL";"NYJ"
"Howard, Cord";"OL";"BAL"
"Howard, David";"DL";"JAC"
"Howard, Thomas";"LB";"CIN"
"Howell, Delano";"DB";"BUF"
"Howell, Nick";"OL";"OAK"
"Hoyer, Brian";"QB";"NWE"
"Hrapmann, Danny";"K";"PIT"
"Hudson, Otis";"OL";"CIN"
"Hudson, Rodney";"OL";"K.C"
"Huff, Michael";"DB";"OAK"
"Hughes, Jerry";"DL";"IND"
"Hughes, John";"DL";"CLE"
"Hughes, Trenton";"DB";"MIA"
"Humphrey, Tory";"TE";"OAK"
"Hunter, David";"DL";"HOU"
"Hunter, Grant";"LB";"CIN"
"Hunter, Jason";"LB";"DEN"
"Hunter, Wayne";"OL";"NYJ"
"Hurd, Zach";"OL";"OAK"
"Hutchinson, Steve";"OL";"TEN"
"Igbinosun, Ikponmwosa";"DL";"PIT"
"Iglesias, Juaquin";"WR";"HOU"
"Ihedigbo, James";"DB";"NWE"
"Ihenacho, Carl";"LB";"OAK"
"Ihenacho, Duke";"DB";"DEN"
"Ijalana, Ben";"OL";"IND"
"Iloka, George";"DB";"CIN"
"Incognito, Richie";"OL";"MIA"
"Ingram, Cornelius";"TE";"DEN"
"Ingram, Jake";"OL";"TEN"
"Ingram, Melvin";"LB";"SDG"
"Irvin, Corvey";"DL";"JAC"
"Irving, Nate";"LB";"DEN"
"Issac, Rod";"DB";"JAC"
"Ivey, Travis";"DL";"OAK"
"Ivy, Mortty";"LB";"PIT"
"Iwuh, Brian";"LB";"DEN"
"Jackson, Brandon";"RB";"CLE"
"Jackson, Buddy";"DB";"IND"
"Jackson, D'Qwell";"LB";"CLE"
"Jackson, Dexter";"WR";"NYJ"
"Jackson, Fred";"RB";"BUF"
"Jackson, Jerrell";"WR";"HOU"
"Jackson, Kareem";"DB";"HOU"
"Jackson, Malik";"DL";"DEN"
"Jackson, Rashawn";"RB";"OAK"
"Jackson, Tyson";"DL";"K.C"
"Jacobs, Ben";"LB";"CLE"
