"Player";"Position";"Team"
"Johnson, Gus";"RB";"DAL"
"Johnson, Josh";"QB";"CIN"
"Johnson, Malcolm";"RB";"CLE"
"Johnson, Steve";"WR";"SDG"
"Johnson, Storm";"RB";"JAC"
"Johnson, Vernon";"WR";"DET"
"Johnson, Will";"RB";"PIT"
"Jones, Christion";"WR";"MIA"
"Jones, Dominique";"TE";"DEN"
"Jones, Jacoby";"WR";"SDG"
"Jones, Julio";"WR";"ATL"
"Jones, Landry";"QB";"PIT"
"Jones, Marvin";"WR";"CIN"
"Jones, Matt";"RB";"WAS"
"Jones, Seantavius";"WR";"NOR"
"Jones, T.J.";"WR";"DET"
"Jones, Taiwan";"RB";"OAK"
"Jones, Tebucky";"WR";"TEN"
"Jones, Tony";"WR";"WAS"
"Juszczyk, Kyle";"RB";"BAL"
"Kaepernick, Colin";"QB";"SFO"
"Kafka, Mike";"QB";"MIN"
"Kearse, Jermaine";"WR";"SEA"
"Keenum, Case";"QB";"STL"
"Kelce, Travis";"TE";"K.C"
"Kendricks, Lance";"TE";"STL"
"Kennedy, Malcome";"WR";"NOR"
"Kerley, Jeremy";"WR";"NYJ"
"King, Tavarres";"WR";"TAM"
"Kinne, G.J.";"QB";"PHI"
"Koyack, Ben";"TE";"JAC"
"Krause, Jonathan";"WR";"NWE"
"Kroft, Tyler";"TE";"CIN"
"Kuhn, John";"RB";"GNB"
"Kumerow, Jake";"WR";"CIN"
"LaCosse, Matt";"TE";"NYG"
"LaFell, Brandon";"WR";"NWE"
"Labhart, Travis";"WR";"HOU"
"Lacy, Eddie";"RB";"GNB"
"Lambo, Josh";"K";"SDG"
"Landry, Jarvis";"WR";"MIA"
"Lane, Jorvorskie";"RB";"TAM"
"Langford, Jeremy";"RB";"CHI"
"Lankford, Ryan";"WR";"IND"
"Lasike, Paul";"RB";"ARI"
"Laskey, Zach";"RB";"STL"
"Latimer, Cody";"WR";"DEN"
"Lawrence, Desmond";"WR";"CIN"
"Lawrence, Rashad";"WR";"CHI"
"Lee, Khari";"TE";"HOU"
"Lee, Marqise";"WR";"JAC"
"Lengel, Matt";"TE";"CIN"
"Lenz, Josh";"WR";"CLE"
"Leonhardt, Brian";"TE";"OAK"
"Leslie, Jordan";"WR";"MIN"
"Lewis, Dezmin";"WR";"BUF"
