"Player";"Position";"Team"
"Jean, Lestar";"WR";"HOU"
"Jennings, Kelly";"DB";"CIN"
"Jennings, Rashad";"RB";"JAC"
"Jerry, John";"OL";"MIA"
"Johnson, Andre";"WR";"HOU"
"Johnson, Antonio";"DL";"IND"
"Johnson, Brandon";"LB";"CIN"
"Johnson, Bryant";"WR";"HOU"
"Johnson, Chris";"DB";"OAK"
"Johnson, Chris";"RB";"TEN"
"Johnson, David";"TE";"PIT"
"Johnson, Derrick";"LB";"K.C"
"Johnson, Ian";"RB";"MIA"
"Johnson, Jarret";"LB";"BAL"
"Johnson, Jeremiah";"RB";"DEN"
"Johnson, Micah";"LB";"CIN"
"Johnson, Michael";"DL";"CIN"
"Johnson, Quinn";"RB";"TEN"
"Johnson, Robert";"DB";"TEN"
"Johnson, Spencer";"LB";"BUF"
"Johnson, Steve";"WR";"BUF"
"Johnson, Terrence";"DB";"IND"
"Jones, Adam";"DB";"CIN"
"Jones, Arthur";"DL";"BAL"
"Jones, David";"DB";"JAC"
"Jones, Derrick";"WR";"OAK"
"Jones, Donald";"WR";"BUF"
"Jones, Edgar";"DL";"BAL"
"Jones, Greg";"RB";"JAC"
"Jones, Jacoby";"WR";"HOU"
"Jones, Jason";"DL";"TEN"
"Jones, Nate";"DB";"NWE"
"Jones, Reshad";"DB";"MIA"
"Jones, Taiwan";"RB";"OAK"
"Jones, Thomas";"RB";"K.C"
"Jones-Drew, Maurice";"RB";"JAC"
"Joseph, Eli";"DL";"PIT"
"Joseph, Johnathan";"DB";"HOU"
"Kaeding, Nate";"K";"SDG"
"Kampman, Aaron";"DL";"JAC"
"Karim, Deji";"RB";"JAC"
"Keisel, Brett";"DL";"PIT"
"Keller, Dustin";"TE";"NYJ"
"Kelly, Tommy";"DL";"OAK"
"Kelsay, Chris";"LB";"BUF"
"Kemoeatu, Chris";"OL";"PIT"
"Keo, Shiloh";"DB";"HOU"
"Kerley, Jeremy";"WR";"NYJ"
"Kindle, Sergio";"LB";"BAL"
"King, Brandon";"DB";"IND"
"Kirkendoll, James";"WR";"TEN"
"Kirlew, Jammie";"DL";"JAC"
"Klug, Karl";"DL";"TEN"
"Knicky, Tim";"LB";"CIN"
"Knighton, Terrance";"DL";"JAC"
"Kopa, Matt";"OL";"NWE"
"Koppen, Dan";"OL";"NWE"
"Koutouvides, Niko";"LB";"NWE"
"Kropog, Troy";"OL";"TEN"
"Kroul, Matt";"DL";"NYJ"
"Kruger, Paul";"LB";"BAL"
"Kuper, Chris";"OL";"DEN"
"La Secla, Jordan";"QB";"OAK"
"LaBoy, Travis";"LB";"SDG"
"Lacey, Jacob";"DB";"IND"
"Lambert, Terrail";"DB";"OAK"
"Landry, Dawan";"DB";"JAC"
"Lane, Austen";"DL";"JAC"
"Langford, Kendall";"DL";"MIA"
"Langford, Reshard";"DB";"K.C"
"Lankster, Ellis";"DB";"NYJ"
"Lansanah, Danny";"LB";"MIA"
"Larsen, Spencer";"RB";"DEN"
