"Player";"Position";"Team"
"Hightower, Tim";"RB";"WAS"
"Hill, Shaun";"QB";"DET"
"Hixon, Domenik";"WR";"NYG"
"Hoese, Jon";"RB";"GNB"
"Holley, Jesse";"WR";"DAL"
"Holmes, Andre";"WR";"DAL"
"Hoomanawanui, Michael";"TE";"STL"
"Hopkins, Chris";"TE";"NYG"
"Housler, Rob";"TE";"ARI"
"Hughes, Robert";"RB";"CHI"
"Humphrey, Tory";"TE";"NOR"
"Hunter, Kendall";"RB";"SFO"
"Hynoski, Henry";"RB";"NYG"
"Ingram, Mark";"RB";"NOR"
"Ivory, Chris";"RB";"NOR"
"Jackson, DeSean";"WR";"PHI"
"Jackson, Deonte'";"RB";"TAM"
"Jackson, Steven";"RB";"STL"
"Jackson, Tarvaris";"QB";"SEA"
"Jacobs, Brandon";"RB";"NYG"
"Jeffcoat, Sean";"WR";"ARI"
"Jenkins, Michael";"WR";"MIN"
"Jennings, Greg";"WR";"GNB"
"Jernigan, Jerrel";"WR";"NYG"
"Johnson, Calvin";"WR";"DET"
"Johnson, Jaymar";"WR";"ARI"
"Johnson, Josh";"QB";"TAM"
"Johnson, Ronald";"WR";"PHI"
"Johnson, Stafon";"RB";"WAS"
"Jones, Felix";"RB";"DAL"
"Jones, James";"WR";"GNB"
"Jones, Julio";"WR";"ATL"
"Jurovich, Kevin";"WR";"CHI"
"Kaepernick, Colin";"QB";"SFO"
"Kafka, Mike";"QB";"PHI"
"Kasay, John";"K";"NOR"
"Kelly, Reggie";"TE";"ATL"
"Kendricks, Lance";"TE";"STL"
"King, Caleb";"RB";"MIN"
"King, Jeff";"TE";"ARI"
"Kitna, Jon";"QB";"DAL"
"Kleinsasser, Jimmy";"TE";"MIN"
"Knox, Johnny";"WR";"CHI"
"Kolb, Kevin";"QB";"ARI"
"Komar, Max";"WR";"CHI"
"Konz, Jameson";"TE";"SEA"
"Kuhn, John";"RB";"GNB"
"Kunalic, Adi";"K";"CAR"
"LaFell, Brandon";"WR";"CAR"
"Lattimore, Keon";"RB";"SFO"
"Leshoure, Mikel";"RB";"DET"
"Lewis, Dion";"RB";"PHI"
"Lloyd, Brandon";"WR";"STL"
"Lockette, Ricardo";"WR";"SEA"
"Logan, Stefan";"WR";"DET"
"Longwell, Ryan";"K";"MIN"
"Lorig, Erik";"RB";"TAM"
"Lumpkin, Kregg";"RB";"TAM"
"Lynch, Marshawn";"RB";"SEA"
"Maclin, Jeremy";"WR";"PHI"
